"BATCHNBR","TEST1","TEST2","TEST3","TEST4","TEST5","TEST6","TEST7","TEST8","TEST9","TEST10","BATCHQUALITY"
"B1101","9.46","2.06","3.34","8.01","9.89","2.4","6.44","5.98",".41","1.3","good"
"B1102","3.56","4.2",".69","3.51","2.95","4.63","5.48","6.4","7.86","6.72","poor"
"B1103","8.05","9.49","6.17",".3",".02","7.15","8.31","1.66","3.18","1.13","poor"
"B1104","7.33","1.44","6.89","8.18","3.27","2.14",".27","7.42","6.69","9.85","good"
"B1105","3.01","7.18","7.49","8.36","6.71","7.63","4.71","3.38","7.14","7.34","good"
"B1106","4.6","8.77","4.75","9.12","1.65",".95","2.91","9.28","4.04","2.87","good"
"B1107",".58","2.31","1.4","5.47","6.83","2.52",".28",".69","9.06","1.05","good"
"B1108","8.78","3.58","5.93","4.08","5.94","5.65","6.76","7.7","3.95","6.73","good"
"B1109","3.34","2.14","3.96","2.33","8.85","8.27","3.95","1.34","1.46",".26","good"
"B1110","6.89",".31","3.86","3",".73","5.85","4.08","2.69","8.53","2.23","poor"
"B1111","4.76","1.61","4.39","8.18","4.53","5.31",".43","8.62","1.03","9.22","poor"
"B1112","6.56","4.36","9.54",".76","8.98","6.34","4.07","8.92","7.13","2.63","good"
"B1113","6.36","6.84","3.95","4.52","1.92","7.66","5.82","6.45","9.72","3.19","good"
"B1114","5.45","9.17","1.49","6.92","6.47","8.54","3.18","1.89","6.08","7.71","good"
"B1115","7.68","1.91","7.29","1.06","5.31","7.07","1.44","3.76","7.3","8.83","good"
"B1116","4.76","4.33","3.13","3.66","5.67","1.71","4.58",".22","8.32","3.45","good"
"B1117","6.18",".28","9.34","8.14","9.49",".57","8.35","1.08","6.98","2.81","poor"
"B1118","8.52","6.45","6.88","5.3","2.05","3.15","7.17","7.79","3.09","6.28","good"
"B1119",".66","6.96","9.94","3.55","5.11","3.32","3.87",".3","2.55","8.02","good"
"B1120","4.59","2.94","9.25","6.41","2.81","8.18","6.1","5.83","1.04","7.08","good"
