serialnbr,productcode,batchnbr,Machinetime,Assemblytime,Finishingtime,cost
P1B1101N11,P1,B1101,1.88,2.86,3.99,42.29
P1B1101N12,P1,B1101,2.02,2.89,4.08,43.11
P1B1101N13,P1,B1101,2.08,3.19,3.86,43.03
P1B1101N14,P1,B1101,1.98,2.95,4.09,43.26
P1B1101N15,P1,B1101,2.06,2.74,4.08,42.76
P1B1101N16,P1,B1101,2.03,2.99,3.94,42.72
P1B1101N17,P1,B1101,2.01,3.08,3.73,41.91
P1B1101N18,P1,B1101,1.93,2.96,4.01,42.8
P1B1101N19,P1,B1101,1.99,2.98,3.92,42.52
P1B1101N20,P1,B1101,2.02,3.07,4.0,43.26
P1B1102N11,P1,B1102,1.97,3.1,4.04,43.44
P1B1102N12,P1,B1102,2.03,2.9,3.82,41.86
P1B1102N13,P1,B1102,1.96,3.02,4.18,43.9
P1B1102N14,P1,B1102,2.05,2.92,4.03,43.02
P1B1102N15,P1,B1102,2.04,3.08,3.99,43.27
P1B1102N16,P1,B1102,1.99,3.2,4.05,43.84
P1B1102N17,P1,B1102,1.96,3.06,3.78,42.0
P1B1102N18,P1,B1102,2.07,3.11,3.89,42.91
P1B1102N19,P1,B1102,1.97,3.14,4.07,43.69
P1B1102N20,P1,B1102,1.93,3.02,4.03,43.08
P1B1103N11,P1,B1103,2.11,3.14,4.12,44.23
P1B1103N12,P1,B1103,2.1,2.97,3.95,42.86
P1B1103N13,P1,B1103,1.98,2.92,4.07,43.06
P1B1103N14,P1,B1103,1.94,2.96,3.98,42.66
P1B1103N15,P1,B1103,2.01,3.12,4.1,43.88
P1B1103N16,P1,B1103,2.06,3.18,3.86,42.95
P1B1103N17,P1,B1103,2.05,2.9,4.12,43.41
P1B1103N18,P1,B1103,2.09,2.84,4.02,42.81
P1B1103N19,P1,B1103,1.98,3.05,3.9,42.62
P1B1103N20,P1,B1103,2.0,2.92,4.13,43.4
P1B1104N11,P1,B1104,2.01,3.11,4.08,43.77
P1B1104N12,P1,B1104,1.9,2.89,4.01,42.54
P1B1104N13,P1,B1104,1.95,2.91,3.79,41.57
P1B1104N14,P1,B1104,2.05,2.79,3.99,42.42
P1B1104N15,P1,B1104,2.05,2.99,4.16,43.87
P1B1104N16,P1,B1104,1.97,2.88,3.89,42.03
P1B1104N17,P1,B1104,2.08,2.76,3.81,41.49
P1B1104N18,P1,B1104,1.89,2.89,3.8,41.47
P1B1104N19,P1,B1104,1.91,2.93,4.05,42.86
P1B1104N20,P1,B1104,1.92,3.0,4.21,43.89
P1B1105N11,P1,B1105,1.96,2.82,3.83,41.54
P1B1105N12,P1,B1105,1.96,3.07,3.99,43.09
P1B1105N13,P1,B1105,2.0,2.97,3.94,42.6
P1B1105N14,P1,B1105,1.96,2.96,4.06,43.1
P1B1105N15,P1,B1105,2.09,2.85,3.86,42.02
P1B1105N16,P1,B1105,1.89,3.04,4.12,43.5
P1B1105N17,P1,B1105,1.94,3.04,3.99,42.93
P1B1105N18,P1,B1105,2.02,2.95,4.0,42.89
